Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Timestamp
0,0,1,1,1,1,1,1,2024-10-30 20:47:04.843
0,0,1,1,1,1,1,1,2024-10-30 20:47:05.044
0,0,1,1,1,1,1,1,2024-10-30 20:47:05.248
0,0,1,1,1,1,1,1,2024-10-30 20:47:05.449
0,0,1,1,1,1,1,1,2024-10-30 20:47:05.650
0,0,1,1,1,1,1,1,2024-10-30 20:47:05.852
0,0,1,1,1,1,1,1,2024-10-30 20:47:06.055
0,0,1,1,1,1,1,1,2024-10-30 20:47:06.256
0,0,1,1,1,1,1,1,2024-10-30 20:47:06.458
0,0,1,1,1,1,1,1,2024-10-30 20:47:06.661
0,0,1,1,1,1,1,1,2024-10-30 20:47:06.862
0,0,1,1,1,1,1,1,2024-10-30 20:47:07.064
0,0,1,1,1,1,1,1,2024-10-30 20:47:07.267
0,0,1,1,1,1,1,1,2024-10-30 20:47:07.469
0,0,1,1,1,1,1,1,2024-10-30 20:47:07.670
0,0,1,1,1,1,1,1,2024-10-30 20:47:07.874
0,0,1,1,1,1,1,1,2024-10-30 20:47:08.075
0,0,1,1,1,1,1,1,2024-10-30 20:47:08.276
0,0,1,1,1,1,1,1,2024-10-30 20:47:08.480
0,0,1,1,1,1,1,1,2024-10-30 20:47:08.681
0,1,1,1,1,1,1,1,2024-10-30 20:47:08.885
0,1,1,1,1,1,1,1,2024-10-30 20:47:09.087
0,1,1,1,1,1,1,1,2024-10-30 20:47:09.291
0,0,1,1,1,1,1,1,2024-10-30 20:47:09.492
0,1,1,1,1,1,1,1,2024-10-30 20:47:09.693
0,1,1,1,1,1,1,1,2024-10-30 20:47:09.897
0,1,1,1,1,1,1,1,2024-10-30 20:47:10.098
0,0,1,1,1,1,1,1,2024-10-30 20:47:10.299
0,0,1,1,1,1,1,1,2024-10-30 20:47:10.501
0,0,1,1,1,1,1,1,2024-10-30 20:47:10.702
0,0,1,1,1,1,1,1,2024-10-30 20:47:10.904
